,phone,price
0,    13 5G  128   4   ,36989000
1,    13 5G  256   4   ,43298000
2,    13 pro max 5G  128   6   ,70899000
3,    13 promax 5G  256   6   ,81799000
4,    13 pro 5G  128   6   ,69399000
5,    13 pro max 5G  128   6   ,101099000
6,    13 promax 5G  256   6   ,82099000
7,    13 promax 5G  256   6   ,93099000
8,    13 promax 5G  512   6   ,87899000
9,    13 pro 5G  256   6   ,72899000
10,    13 pro 5G  256   6    ,76495000
11,    13 pro 5G  512   6    ,69235000
12,    13 pro  1   6    ,70449000
13,    13 promax 5G  1   6   ,146199000
14,    13 promax 5G  1   6    ,88299000
